t,az
27.306000,9.900169373
27.325000,9.900169373
27.346000,9.900169373
27.366000,9.895379066
27.388000,9.904960632
27.427000,9.900169373
27.468000,9.900169373
27.487000,9.900169373
27.509000,9.909751892
27.547000,9.895379066
27.567000,9.904960632
27.588000,9.904960632
27.627000,9.900169373
27.647000,9.895379066
27.667000,9.904960632
27.687000,9.900169373
27.709000,9.900169373
27.747000,9.904960632
27.770000,9.904960632
27.809000,9.904960632
27.849000,9.904960632
27.868000,9.900169373
27.889000,9.900169373
27.909000,9.904960632
27.929000,9.900169373
27.969000,9.909751892
27.990000,9.890587807
28.030000,9.904960632
28.070000,9.904960632
28.110000,9.904960632
28.150000,9.904960632
28.170000,9.895379066
28.211000,9.900169373
28.231000,9.900169373
28.250000,9.900169373
28.291000,9.904960632
28.312000,9.904960632
28.350000,9.900169373
28.371000,9.909751892
28.391000,9.904960632
28.411000,9.895379066
28.431000,9.904960632
28.452000,9.895379066
28.471000,9.904960632
28.492000,9.900169373
28.513000,9.900169373
28.552000,9.900169373
28.592000,9.904960632
28.613000,9.900169373
28.652000,9.900169373
28.672000,9.900169373
28.693000,9.904960632
28.714000,9.904960632
28.753000,9.904960632
28.772000,9.900169373
28.793000,9.904960632
28.814000,9.900169373
28.853000,9.900169373
28.873000,9.909751892
28.893000,9.900169373
28.914000,9.904960632
28.954000,9.909751892
28.974000,9.895379066
28.994000,9.904960632
29.016000,9.895379066
29.055000,9.900169373
29.074000,9.904960632
29.094000,9.900169373
29.117000,9.909751892
29.156000,9.900169373
29.195000,9.904960632
29.217000,9.900169373
29.255000,9.890587807
29.275000,9.909751892
29.296000,9.895379066
29.315000,9.909751892
29.336000,9.900169373
29.375000,9.904960632
29.395000,9.900169373
29.417000,9.904960632
29.437000,9.900169373
29.476000,9.904960632
29.496000,9.900169373
29.519000,9.909751892
29.557000,9.900169373
29.576000,9.900169373
29.596000,9.909751892
29.616000,9.904960632
29.637000,9.900169373
29.657000,9.904960632
29.677000,9.900169373
29.697000,9.904960632
29.738000,9.904960632
29.758000,9.900169373
29.798000,9.895379066
29.820000,9.904960632
29.858000,9.900169373
29.879000,9.900169373
29.898000,9.904960632
29.920000,9.895379066
29.959000,9.895379066
29.979000,9.900169373
29.999000,9.909751892
